local_execucao,numero_requisicoes,comando,manter,saiu_na_tela,saiu_no_arquivo,tempo_execucao_total_ms,tempo_medio_ms,tempo_minimo_ms,tempo_maximo_ms,desvio_padrao_ms,erro_saida,codigo_retorno
local,10000,SNMPWALK,0,True,True,596.219,0.06,0.035,0.531,0.02,,0
local,10000,SNMPWALK,1,True,True,481.066,0.048,0.031,0.25,0.013,,0
local,10000,SNMPWALK,0,True,True,619.819,0.062,0.036,0.505,0.02,,0
local,10000,SNMPWALK,1,True,True,518.994,0.052,0.025,0.406,0.019,,0
docker,10000,SNMPWALK,1,True,True,635.756,0.064,0.037,0.344,0.015,"time=""2024-11-26T18:03:07-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,1,True,True,704.379,0.07,0.046,0.635,0.02,"time=""2024-11-26T18:03:10-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,0,True,True,1101.824,0.11,0.079,2.544,0.034,"time=""2024-11-26T18:03:13-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
docker,10000,SNMPWALK,0,True,True,1128.759,0.113,0.082,0.576,0.021,"time=""2024-11-26T18:03:17-03:00"" level=warning msg=""Found orphan containers ([aula-redes-snmp-tcp-client-run-4008d901d8cd aula-redes-snmp-tcp-client-run-821b1d368115 aula-redes-snmp-tcp-client-run-70b31f340734 aula-redes-snmp-tcp-client-run-fe89eb15f210 aula-redes-snmp-tcp-client-run-b49fc6f55d78 aula-redes-snmp-tcp-client-run-f118a842b44e aula-redes-snmp-tcp-client-run-6880b1651dd7 aula-redes-snmp-tcp-client-run-10b14ecf2bfe aula-redes-snmp-tcp-client-run-b77707288911 aula-redes-snmp-tcp-client-run-9688db38fbf6 aula-redes-snmp-tcp-client-run-0e814c81025a aula-redes-snmp-tcp-client-run-eaecbd77f29e aula-redes-snmp-tcp-client-run-c596847e7989 aula-redes-snmp-tcp-client-run-af7bd46e79fc aula-redes-snmp-tcp-client-run-6a02654a8661 aula-redes-snmp-tcp-client-run-b81ff194581b aula-redes-snmp-tcp-client-run-d55f206ddc26 aula-redes-snmp-tcp-client-run-6aaa3efdfcd8 aula-redes-snmp-tcp-client-run-9bcb0a51803c aula-redes-snmp-tcp-client-run-db755118089e aula-redes-snmp-tcp-client-run-0523c6b093b0 aula-redes-snmp-tcp-client-run-539783d3f786 aula-redes-snmp-tcp-client-run-6642343a4b95 aula-redes-snmp-tcp-client-run-5756838e624a aula-redes-snmp-tcp-client-run-6747b292ebd2 aula-redes-snmp-tcp-client-run-324b17fc3215 aula-redes-snmp-tcp-client-run-2c69fdb3896f]) for this project. If you removed or renamed this service in your compose file, you can run this command with the --remove-orphans flag to clean it up.""",0
local,10000,SNMPWALK,0,True,True,584.768,0.058,0.033,0.273,0.017,,0
local,10000,SNMPWALK,1,True,True,467.244,0.047,0.027,0.22,0.01,,0
